"State","Year","Avg_Rainfall","Avg_CSI","Avg_Humidity","Avg_Cloud"
"Andhra Pradesh",2010,81.35,31.7766666666667,71.8833333333333,48.2333333333333
"Andhra Pradesh",2011,66.0333333333333,32.7266666666667,68.1,46.7333333333333
"Andhra Pradesh",2012,77.7916666666667,33.4083333333333,68.5833333333333,53.8333333333333
"Andhra Pradesh",2013,77.4,33.2333333333333,74.4666666666667,47.3166666666667
"Andhra Pradesh",2014,53.0583333333333,36.1216666666667,71.8583333333333,44.975
"Andhra Pradesh",2015,62.8333333333333,39.8833333333333,74.325,56.8
"Andhra Pradesh",2016,61.9833333333333,33.1,72.1833333333333,41.5583333333333
"Andhra Pradesh",2017,79.0916666666667,34.385,74.0416666666667,51.4666666666667
"Andhra Pradesh",2018,77.4083333333333,31.3816666666667,73.75,43.4083333333333
"Andhra Pradesh",2019,97.6916666666667,27.6783333333333,70.4416666666667,47.6
"Andhra Pradesh",2020,112.85,29.15,76.55,52.75
"Andhra Pradesh",2021,81.4,33.7833333333333,74.4416666666667,50.7166666666667
"Andhra Pradesh",2022,76.0666666666667,30.45,70.125,44.0333333333333
"Andhra Pradesh",2023,74.0666666666667,35.3333333333333,69.1333333333333,56.2333333333333
"Andhra Pradesh",2024,56.2,36.7533333333333,72.5833333333333,47.4
"Bihar",2010,67.475,30.8183333333333,62.975,47.8083333333333
"Bihar",2011,66.3416666666667,31.845,64.075,48.7083333333333
"Bihar",2012,75.5833333333333,29.2266666666667,63.9583333333333,46.9
"Bihar",2013,63.8333333333333,33.7666666666667,70.8166666666667,45.5166666666667
"Bihar",2014,50.075,34.1383333333333,66.875,43.5083333333333
"Bihar",2015,59.4916666666667,35.7983333333333,70.625,48.6166666666667
"Bihar",2016,80.1583333333333,28.385,68,43.0416666666667
"Bihar",2017,61.1833333333333,30.72,70.1,37.2916666666667
"Bihar",2018,82.0833333333333,28.53,66.1916666666667,46.175
"Bihar",2019,96.0666666666667,27.7533333333333,67.3916666666667,50.025
"Bihar",2020,99.85,26.2366666666667,73.4083333333333,42.1083333333333
"Bihar",2021,71.025,33.7616666666667,65.8666666666667,54.05
"Bihar",2022,75.1666666666667,29.4566666666667,64.6166666666667,46.6083333333333
"Bihar",2023,80.4666666666667,32.8933333333333,71.85,50.6166666666667
"Bihar",2024,76.5166666666667,29.69,65.4666666666667,47.0166666666667
"Haryana",2010,54.25,28.35,53.025,44.975
"Haryana",2011,51.7166666666667,29.08,51.125,47.4333333333333
"Haryana",2012,57.625,27.6183333333333,50.8,47.0583333333333
"Haryana",2013,59.0416666666667,28.245,53.4583333333333,46.675
"Haryana",2014,37.5583333333333,31.3683333333333,48.8083333333333,48.3916666666667
"Haryana",2015,40.6833333333333,30.55,52.1333333333333,44.5833333333333
"Haryana",2016,57.9166666666667,22.7533333333333,48.7666666666667,37.075
"Haryana",2017,67.4583333333333,30.4616666666667,54,55.8833333333333
"Haryana",2018,67.8666666666667,25.11,50.5166666666667,46.1916666666667
"Haryana",2019,86.4833333333333,26.47,53.4583333333333,55.9583333333333
"Haryana",2020,88.1916666666667,25.225,51.7416666666667,55.4166666666667
"Haryana",2021,59.3416666666667,28.325,53.6583333333333,46.825
"Haryana",2022,72.0166666666667,25.5066666666667,51.1583333333333,48.6166666666667
"Haryana",2023,65.2166666666667,24.95,51.05,43.9333333333333
"Haryana",2024,45.8833333333333,25.9233333333333,52.3333333333333,35.4166666666667
"Karnataka",2010,85.7166666666667,33.2333333333333,70.9333333333333,55.0083333333333
"Karnataka",2011,81.85,31.1566666666667,69.85,48.9666666666667
"Karnataka",2012,85.525,30.7916666666667,76.3333333333333,43.4083333333333
"Karnataka",2013,81.6083333333333,33.0016666666667,70.3166666666667,52.9916666666667
"Karnataka",2014,62.2833333333333,38.5333333333333,71.1166666666667,56.3583333333333
"Karnataka",2015,59.9916666666667,37.4083333333333,71.925,51.5916666666667
"Karnataka",2016,82.75,31.06,71.875,47.15
"Karnataka",2017,80.3333333333333,33.2166666666667,72.9833333333333,50.225
"Karnataka",2018,71.3583333333333,31.0616666666667,68.4166666666667,44.9166666666667
"Karnataka",2019,94.65,29.9733333333333,72.4166666666667,49.8416666666667
"Karnataka",2020,99.4916666666667,25.0116666666667,71.9916666666667,40.2833333333333
"Karnataka",2021,73.575,32.2416666666667,70.8333333333333,46.5583333333333
"Karnataka",2022,73.825,30.245,72.8833333333333,39.6416666666667
"Karnataka",2023,73.6666666666667,32.2766666666667,72.6583333333333,44.8666666666667
"Karnataka",2024,91.1833333333333,28.5,70.7,46.1416666666667
"Maharashtra",2010,76.6,32.77,66.325,53.9
"Maharashtra",2011,76.8666666666667,28.5233333333333,67.2166666666667,42.525
"Maharashtra",2012,72.9583333333333,29.6383333333333,62.5916666666667,47.9833333333333
"Maharashtra",2013,70.4083333333333,30.725,64.1916666666667,47.825
"Maharashtra",2014,53,36.0666666666667,65.7833333333333,50.8833333333333
"Maharashtra",2015,51.3166666666667,36.9166666666667,72.4666666666667,45.4833333333333
"Maharashtra",2016,67.5416666666667,31.235,64.9916666666667,46.8666666666667
"Maharashtra",2017,85.45,29.52,68.3416666666667,48.1833333333333
"Maharashtra",2018,70.7916666666667,31.5783333333333,66.9083333333333,47.4333333333333
"Maharashtra",2019,93.3083333333333,26.0216666666667,68.1416666666667,43.5666666666667
"Maharashtra",2020,78.5583333333333,28.5983333333333,68.6166666666667,42.1583333333333
"Maharashtra",2021,66.45,32.4266666666667,68.2,46.0916666666667
"Maharashtra",2022,82.3416666666667,31.8816666666667,69.3166666666667,51.5583333333333
"Maharashtra",2023,80.4083333333333,30.6416666666667,65.3166666666667,51.4916666666667
"Maharashtra",2024,70.7833333333333,30.5133333333333,66.7,44.975
"Odisha",2010,81.8333333333333,32.1433333333333,80.4583333333333,40.8166666666667
"Odisha",2011,69.875,34.8016666666667,78.8583333333333,43.0833333333333
"Odisha",2012,85.1833333333333,35.37,78.4416666666667,52.575
"Odisha",2013,82.5416666666667,35.3416666666667,80.9583333333333,48.6666666666667
"Odisha",2014,63.3916666666667,39.065,81.5666666666667,47.7916666666667
"Odisha",2015,51.2916666666667,40.0383333333333,76.2333333333333,49.5083333333333
"Odisha",2016,73.8833333333333,35.3766666666667,82.45,42.9333333333333
"Odisha",2017,78.375,35.4116666666667,80.0166666666667,47.7
"Odisha",2018,85.525,33.6816666666667,77.425,49.5416666666667
"Odisha",2019,111.9,30.2433333333333,80.325,51.2333333333333
"Odisha",2020,112.833333333333,29.55,80.2166666666667,50.075
"Odisha",2021,68.5666666666667,33.2133333333333,77.4833333333333,39.8333333333333
"Odisha",2022,77.0666666666667,38.0666666666667,77.225,56.475
"Odisha",2023,75.475,34.4216666666667,77.1166666666667,46.675
"Odisha",2024,87.8833333333333,33.81,76.4083333333333,52.0583333333333
"Punjab",2010,67.5833333333333,28.0933333333333,57.4916666666667,46.5333333333333
"Punjab",2011,61.3,29.0966666666667,57.7916666666667,45.6
"Punjab",2012,68.3833333333333,27.3266666666667,58.1916666666667,44.3166666666667
"Punjab",2013,71.9916666666667,27.075,58.875,44.8083333333333
"Punjab",2014,50.6916666666667,32.155,55.1583333333333,50.575
"Punjab",2015,53.275,32.725,56.85,51.6
"Punjab",2016,63.5333333333333,27.5766666666667,55.2583333333333,45.45
"Punjab",2017,62.25,27.07,56.4,42.4
"Punjab",2018,63.3583333333333,30.6083333333333,57.875,50.325
"Punjab",2019,83.5916666666667,24.785,58.7083333333333,45.05
"Punjab",2020,96.825,21.1583333333333,54.4083333333333,46.9
"Punjab",2021,59.6833333333333,28.8666666666667,54.6583333333333,47.35
"Punjab",2022,67.0416666666667,28.4783333333333,56.3083333333333,48.4083333333333
"Punjab",2023,71.2333333333333,30.45,59.925,51.8166666666667
"Punjab",2024,67.6166666666667,25.1933333333333,51.5333333333333,45.2583333333333
"Rajasthan",2010,62.1583333333333,22.605,39.6583333333333,47.9333333333333
"Rajasthan",2011,62.6583333333333,22.175,40,46.7666666666667
"Rajasthan",2012,79.5083333333333,19.5116666666667,40.1583333333333,48.375
"Rajasthan",2013,49.0416666666667,23.0583333333333,38.9916666666667,43.175
"Rajasthan",2014,42.1666666666667,26.1633333333333,37.7083333333333,48.7833333333333
"Rajasthan",2015,39.8,28.65,45.625,45.9
"Rajasthan",2016,54.9083333333333,23.0683333333333,39.2333333333333,45.8916666666667
"Rajasthan",2017,42.9416666666667,23.905,40.3166666666667,40.9166666666667
"Rajasthan",2018,64.9916666666667,22.085,40.4666666666667,47.2416666666667
"Rajasthan",2019,81.0083333333333,19.7416666666667,44.75,45.1083333333333
"Rajasthan",2020,86.325,17.175,38.55,47.55
"Rajasthan",2021,63.1166666666667,26.11,43.95,52.8833333333333
"Rajasthan",2022,72.9416666666667,26.8916666666667,44.5583333333333,59.1416666666667
"Rajasthan",2023,57.3083333333333,23.1683333333333,42.9916666666667,43.5833333333333
